Long	Lat	sat_min	sat_max	pptn_min	pptn_max	npp
-78.49	-0.105	12.5862	12.9314	83.9747	360.0253	428.5705
-78.858	-0.105	18.9196	19.7215	222.5660	1214.0651	1289.5175
-55.335	-0.405	24.4540	25.9539	308.2358	1041.8727	861.8538
-57.76	-0.41	25.7656	27.0699	321.0456	1008.7155	878.8814
-60.237	-0.414	26.0326	27.1550	359.1682	834.8844	831.0467
-62.76	-0.523	25.8614	26.6966	421.5642	943.7953	896.8163
-65.692	-0.21	26.0316	26.8448	422.7215	747.0181	838.0649
-66.06	-0.21	25.9438	26.7834	396.1820	704.1171	891.0863
-66.798	-0.21	25.4568	26.4289	508.0575	826.9623	864.5607
-67.168	-0.211	25.2378	26.2938	562.9283	879.2276	903.7312
-67.999	-0.422	24.9894	26.0008	657.6699	977.5661	925.6118
-72.745	-0.211	24.9736	26.6351	398.5116	886.6970	1021.3900
-73.118	-0.317	24.9349	26.6074	394.5998	888.8692	1043.7327
-74.234	-0.211	24.7806	26.5637	376.4110	980.0747	1187.9756
-75.723	-0.422	24.5020	25.9678	492.4902	974.0419	1348.4750
-77.94	-0.21	8.6746	9.6797	264.3117	392.6018	742.5366
-78.308	-0.21	11.7750	12.2644	120.5606	345.0235	738.5770
-78.676	-0.21	12.1825	12.6597	123.6805	525.9910	1164.7406
-80.237	-0.366	23.6209	25.4078	24.2120	519.2298	600.0935
-55.845	-0.508	24.9606	26.4363	343.2056	1075.7600	860.0923
-58.282	-0.514	25.9651	27.2194	309.3842	958.6364	869.6790
-60.77	-0.519	26.1605	27.2028	381.1862	849.2271	831.4410
-61.857	-0.312	26.0686	27.0085	392.5295	946.8044	816.5605
-63.673	-0.314	26.0265	26.8491	453.2295	902.1366	725.6608
-64.038	-0.314	26.0478	26.8527	474.5246	919.5392	736.4975
-64.404	-0.314	26.0704	26.8529	488.7418	910.8418	778.1242
-65.138	-0.315	26.0616	26.8316	465.5986	828.0597	933.6186
-65.505	-0.315	26.0478	26.8558	433.9241	763.9367	832.4118
-65.874	-0.315	25.9965	26.8163	402.6288	715.9153	837.0665
-66.242	-0.316	25.8422	26.7060	397.6130	699.7089	796.8195
-66.611	-0.316	25.5829	26.5147	470.4126	781.6381	856.1399
-66.888	-0.421	25.3268	26.3163	526.1743	840.1689	926.6951
-67.351	-0.316	25.2166	26.2501	584.0455	901.0944	938.9864
-68.461	-0.528	24.9140	25.9175	687.5050	991.1672	908.2484
-70.696	-0.317	25.1571	26.3903	653.8700	922.4818	851.1083
-71.068	-0.582	25.1759	26.4198	615.5772	911.0004	843.6745
-74.049	-0.317	24.8393	26.5996	385.9325	958.8253	1139.6908
-76.281	-0.528	24.3819	25.6971	610.5394	1016.8956	1422.7154
-77.389	-0.316	21.6636	22.5085	641.0787	1121.8199	1368.9797
-77.758	-0.316	16.1322	16.8153	392.3906	730.5389	1228.5052
-78.495	-0.315	13.1510	13.4456	111.8626	432.3110	787.2000
-78.862	-0.315	18.0276	18.7105	187.4810	1080.8680	1326.1846
-56.357	-0.612	25.7877	27.2253	367.5586	1106.1930	851.6103
-58.806	-0.618	25.9230	27.1554	312.1012	921.3379	848.4321
-61.394	-0.624	26.1013	27.0602	423.5392	925.2062	836.3107
-63.488	-0.418	25.9689	26.7729	447.1883	876.7349	746.9313
-63.853	-0.419	25.9899	26.7736	472.7600	905.9891	811.9535
-64.218	-0.419	26.0861	26.8702	490.9655	911.4582	750.4845
-64.585	-0.419	26.0771	26.8569	492.2323	870.6570	749.6530
-64.952	-0.42	26.0722	26.8360	476.3327	838.2098	851.7036
-65.319	-0.42	26.0830	26.8624	448.3816	788.1863	821.4729
-65.869	-0.579	25.9353	26.7573	417.6966	744.5208	954.0490
-66.425	-0.421	25.7034	26.5996	433.0930	741.1467	844.5093
-67.164	-0.421	25.2536	26.2845	561.7110	872.5781	933.7212
-67.441	-0.527	25.1731	26.1892	599.7600	910.8635	943.3089
-69.018	-0.634	24.8828	25.8822	683.3058	977.1963	881.2268
-70.509	-0.423	25.1872	26.3601	663.4468	929.7784	855.3677
-71.627	-0.688	25.1796	26.5034	553.8475	892.1965	859.6914
-72.373	-0.423	25.0675	26.6077	445.0071	873.5631	992.7817
-73.864	-0.423	24.8724	26.5996	395.7030	930.4401	1087.5191
-74.238	-0.635	24.7844	26.4783	424.4828	947.7594	1180.6507
-76.839	-0.633	24.1058	25.2712	702.1168	1100.9661	1470.9386
-77.575	-0.421	16.4083	17.1995	483.0930	1002.1771	956.2982
-77.944	-0.421	11.6395	12.5318	303.0235	512.2581	1005.1051
-78.313	-0.42	7.4267	8.1776	167.6799	328.0000	819.8716
-78.681	-0.42	11.7213	12.1573	128.7269	490.4611	1178.4033
-79.048	-0.42	17.8857	18.6980	158.1591	1141.3725	1112.7069
-79.42	-0.63	23.2997	24.9643	109.5459	1386.4485	831.3702
-56.872	-0.716	26.0710	27.4868	351.4210	1123.3335	852.0143
-59.334	-0.723	25.9678	27.1604	333.3012	895.5768	829.6039
-61.85	-0.521	26.0499	26.9623	437.1900	993.6956	822.3683
-63.302	-0.523	25.9321	26.7493	439.5355	865.6066	749.5566
-63.757	-0.681	25.9597	26.7231	476.6620	892.2268	916.5908
-64.393	-0.735	26.0090	26.7398	500.6396	895.4548	933.1237
